keys,ko,en,ja,zh_CN,zh_TW
SETTINGS_CLOSE,닫기,Close,閉じる,关闭,關閉
SETTINGS_PRIVACY,개인정보 처리방침,Privacy Policy,プライバシーポリシー,隐私政策,隱私權政策
SETTINGS_SUPPORT,고객지원,Support,サポート,客户支持,客戶支援
SETTINGS_LINK_FAILED,링크를 열 수 없습니다,Could not open link,リンクを開けません,无法打开链接,無法開啟連結
SETTINGS_SAVE_FAILED,설정을 저장하지 못했습니다 · 다시 시도해 주세요,Could not save settings · Please try again,設定を保存できません · もう一度お試しください,无法保存设置 · 请重试,無法儲存設定 · 請重試
SETTINGS_ANALYTICS,익명 분석,Analytics,匿名分析,匿名分析,匿名分析
SETTINGS_ANALYTICS_UNKNOWN,선택 안 함,Not chosen,未選択,未选择,未選擇
SETTINGS_ANALYTICS_ON,공유 켜짐,Sharing on,共有オン,已开启共享,已開啟分享
SETTINGS_ANALYTICS_OFF,공유 꺼짐,Sharing off,共有オフ,已关闭共享,已關閉分享
ANALYTICS_CONSENT_TITLE,익명 플레이 지표를 공유할까요?,Share anonymous gameplay metrics?,匿名のプレイ指標を共有しますか？,要分享匿名游玩指标吗？,要分享匿名遊玩指標嗎？
ANALYTICS_CONSENT_BODY,익명 플레이 지표를 공유해 게임 개선을 돕습니다. 공유 지표에는 이름 · 구매 내역 · 기기 식별자가 포함되지 않습니다. 구매는 앱 스토어가 별도로 처리하며 공유 여부는 설정에서 언제든 바꿀 수 있습니다.,Share anonymous gameplay metrics to help improve the game. Shared metrics exclude your name · purchase history · and device ID. Purchases are processed separately by the app store. You can change sharing anytime in Settings.,ゲーム改善のため匿名のプレイ指標を共有します。共有される指標に名前・購入履歴・端末識別子は含まれません。購入はアプリストアが別途処理します。共有は設定でいつでも変更できます。,分享匿名游玩指标以帮助改进游戏。分享的指标不包含姓名・购买记录或设备标识符。购买由应用商店单独处理。你可以随时在设置中更改分享选择。,分享匿名遊玩指標以協助改善遊戲。分享的指標不包含姓名・購買紀錄或裝置識別碼。購買由應用程式商店另行處理。你可以隨時在設定中更改分享選擇。
ANALYTICS_CONSENT_PRIVACY,개인정보 처리방침,Privacy policy,プライバシーポリシー,隐私政策,隱私權政策
ANALYTICS_CONSENT_SHARE,익명 지표 공유,Share anonymously,匿名で共有,匿名分享,匿名分享
ANALYTICS_CONSENT_NOT_NOW,지금은 공유 안 함,Not now,今は共有しない,暂不分享,暫不分享
CREDITS_TITLE,크레딧,Credits,クレジット,制作名单,製作名單
CREDITS_INTRO,자체 제작 그림과 자유 라이선스 음원·글꼴로 만들었습니다,Original art with freely licensed audio and fonts,オリジナルアートと自由ライセンスの音源・フォントを使用,使用原创美术与自由授权的音频和字体制作,使用原創美術與自由授權的音訊和字型製作
CREDITS_ART,그림 · UI,Art and UI,アート · UI,美术 · 界面,美術 · 介面
CREDITS_SOUND,음악 · 효과음,Music and sound,音楽 · 効果音,音乐 · 音效,音樂 · 音效
CREDITS_FONT,글꼴,Font,フォント,字体,字型
CREDITS_ENGINE,엔진,Engine,エンジン,引擎,引擎
CREDITS_MADE_BY,만든 사람,Made by,制作,制作,製作
CREDITS_IAP,결제 연동,Store integration,ストア連携,商店接入,商店整合
CREDITS_SUPPORTER,달빛 후원자,Moonlit supporter,月明かりの支援者,月光支持者,月光贊助者
CREDITS_BACK,돌아가기,Back,戻る,返回,返回
QUIT_TITLE,게임을 끝낼까요?,Quit the game?,ゲームを終了しますか？,要退出游戏吗？,要退出遊戲嗎？
QUIT_YES,끝내기,Quit,終了,退出,退出
QUIT_NO,돌아가기,Cancel,戻る,取消,取消
RELIC_PICK,달빛이 하나를 내민다,The moonlight offers a gift,月明かりが贈り物を差し出す,月光送来一份礼物,月光送來一份禮物
RELIC_GAINED,%s Lv %d 강화,%s Lv %d upgraded,%s Lv %d 強化,%s Lv %d 已强化,%s Lv %d 已強化
RELIC_DEW_HUNTER_NAME,이슬 사냥꾼,Dew Hunter,露の狩人,月露猎手,月露獵手
RELIC_DEW_HUNTER_DESC,달빛 이슬 확률 +50%,Moon Dew chance +50%,月露の確率 +50%,月露概率 +50%,月露機率 +50%
RELIC_HEAVY_ARROW_NAME,무거운 월륜,Heavy Moon Disc,重い月輪,重型月轮,重型月輪
RELIC_HEAVY_ARROW_DESC,월륜 피해 +18% · 유성우 진화 경로,Moon Disc damage +18% · Starfall path,月輪ダメージ +18% · 流星雨への進化経路,月轮伤害 +18% · 流星雨进化路线,月輪傷害 +18% · 流星雨進化路線
RELIC_LIGHT_STEP_NAME,잰걸음,Light Step,軽快な足さばき,轻捷步法,輕捷步法
RELIC_LIGHT_STEP_DESC,걷는 속도 +18,Move speed +18,移動速度 +18,移动速度 +18,移動速度 +18
RELIC_LONG_BLADE_NAME,긴 칼날,Long Blade,長い刃,长刃,長刃
RELIC_LONG_BLADE_DESC,칼이 닿는 거리 +18% · 만월참 진화 경로,Slash reach +18% · Full Moon path,斬撃範囲 +18% · 満月斬りへの進化経路,斩击范围 +18% · 满月斩进化路线,斬擊範圍 +18% · 滿月斬進化路線
RELIC_MOON_DASH_NAME,달빛 걸음,Moonlit Step,月影の歩み,月影步,月影步
RELIC_MOON_DASH_DESC,대시가 35% 빨리 돌아온다,Dash cooldown -35%,ダッシュ再使用時間 -35%,冲刺冷却 -35%,衝刺冷卻 -35%
RELIC_MOON_RING_NAME,달빛 고리,Moon Ring,月光の輪,月光环,月光環
RELIC_MOON_RING_DESC,달빛 고리 +1 · 파문과 만나면 월영무,Orbiting orb +1 · Pair with Ripple for Moon Dance,旋回する輪 +1 · 波紋と揃うと月影舞,环绕光球 +1 · 与波纹组合进化为月影舞,環繞光球 +1 · 與波紋組合進化為月影舞
RELIC_MOON_RIPPLE_NAME,달빛 파문,Moonlit Ripple,月光の波紋,月光波纹,月光波紋
RELIC_MOON_RIPPLE_DESC,파문이 넓고 잦아짐 · 고리와 만나면 월영무,Wider faster ripples · Pair with Ring for Moon Dance,波紋が広がり、発生頻度が上がる · 輪と揃うと月影舞,波纹范围更广且触发更频繁 · 与光环组合进化为月影舞,波紋範圍更廣且觸發更頻繁 · 與光環組合進化為月影舞
RELIC_PIERCE_ARROW_NAME,관통 월륜,Piercing Moon Disc,貫通月輪,穿透月轮,穿透月輪
RELIC_PIERCE_ARROW_DESC,월륜 관통 +1 · 유성우 진화 경로,Moon Disc pierce +1 · Starfall path,月輪貫通 +1 · 流星雨への進化経路,月轮穿透 +1 · 流星雨进化路线,月輪穿透 +1 · 流星雨進化路線
RELIC_QUICK_ARROW_NAME,빠른 월륜,Swift Moon Disc,迅速な月輪,迅捷月轮,迅捷月輪
RELIC_QUICK_ARROW_DESC,월륜 발사 간격 -14% · 유성우 진화 경로,Moon Disc interval -14% · Starfall path,月輪発射間隔 -14% · 流星雨への進化経路,月轮发射间隔 -14% · 流星雨进化路线,月輪發射間隔 -14% · 流星雨進化路線
RELIC_SHADOW_VEIL_NAME,그림자 장막,Shadow Veil,影の帳,暗影帷幕,暗影帷幕
RELIC_SHADOW_VEIL_DESC,맞은 뒤 무적 +0.6초,Invulnerability after taking damage +0.6s,被弾後の無敵 +0.6秒,受伤后无敌 +0.6秒,受傷後無敵 +0.6秒
RELIC_SHARP_MOON_NAME,날카로운 달빛,Sharp Moonlight,鋭い月光,锋锐月光,鋒銳月光
RELIC_SHARP_MOON_DESC,베는 피해 +18% · 만월참 진화 경로,Slash damage +18% · Full Moon path,斬撃ダメージ +18% · 満月斬りへの進化経路,斩击伤害 +18% · 满月斩进化路线,斬擊傷害 +18% · 滿月斬進化路線
RELIC_SWIFT_HAND_NAME,빠른 손,Swift Hand,早業,快手,快手
RELIC_SWIFT_HAND_DESC,휘두르는 간격 -14% · 만월참 진화 경로,Swing interval -14% · Full Moon path,斬撃間隔 -14% · 満月斬りへの進化経路,挥砍间隔 -14% · 满月斩进化路线,揮砍間隔 -14% · 滿月斬進化路線
RELIC_TOUGH_LIFE_NAME,질긴 목숨,Tenacious Life,不屈の命,坚韧生命,堅韌生命
RELIC_TOUGH_LIFE_DESC,하트 칸 +1 · 즉시 한 칸 회복,Max hearts +1 · Restore 1 heart now,最大ハート +1 · 即座に1回復,生命上限 +1 · 立即恢复1颗心,生命上限 +1 · 立即恢復1顆心
RELIC_TWIN_ARROW_NAME,쌍월륜,Twin Moon Discs,双月輪,双月轮,雙月輪
RELIC_TWIN_ARROW_DESC,월륜 편대 총화력 +18% · 유성우 진화 경로,Moon Disc volley power +18% · Starfall path,月輪編隊の総火力 +18% · 流星雨への進化経路,月轮齐射火力 +18% · 流星雨进化路线,月輪齊射火力 +18% · 流星雨進化路線
RELIC_WARM_BEACON_NAME,봉화의 온기,Beacon's Warmth,烽火の温もり,烽火暖意,烽火暖意
RELIC_WARM_BEACON_DESC,순환마다 첫 봉화를 켜면 한 칸 회복,Restore 1 heart at the first beacon of each cycle,各周回の最初の烽火でハートを1回復,每轮点燃第一座烽火时恢复1颗心,每輪點燃第一座烽火時恢復1顆心
RELIC_WIDE_ARC_NAME,넓은 베기,Wide Slash,広い斬撃,广域斩击,廣域斬擊
RELIC_WIDE_ARC_DESC,베는 각도 +25% · 만월참 진화 경로,Slash arc +25% · Full Moon path,斬撃角度 +25% · 満月斬りへの進化経路,斩击角度 +25% · 满月斩进化路线,斬擊角度 +25% · 滿月斬進化路線
GUARDIAN_REWARD,수호자의 전리품,Guardian's trove,守護者の戦利品,守护者战利品,守護者戰利品
EVOLUTION_NONE,진화,Evolution,進化,进化,進化
EVOLUTION_STARFALL,유성우,Starfall,流星雨,流星雨,流星雨
EVOLUTION_FULL_MOON,만월참,Full Moon,満月斬り,满月斩,滿月斬
EVOLUTION_MOON_DANCE,월영무,Moon Dance,月影舞,月影舞,月影舞
CARD_EVOLUTION_PROGRESS,진화 · %s %d/%d,Evolve · %s %d/%d,進化 · %s %d/%d,进化 · %s %d/%d,進化 · %s %d/%d
CARD_EVOLUTION_NOW,선택 시 진화 · %s,Evolves now · %s,選ぶと進化 · %s,选择后进化 · %s,選擇後進化 · %s
CARD_RESONANCE_NOW,선택 시 공명 · %s,Resonates now · %s,選ぶと共鳴 · %s,选择后共鸣 · %s,選擇後共鳴 · %s
CARD_EVOLUTION_TIER,%s %d단계,%s tier %d,%s 第%d段階,%s %d阶,%s %d階
CARD_DOUBLE_SUFFIX, · ×2 획득, · Gain ×2, · ×2 獲得, · 获得×2, · 獲得×2
EVOLUTION_UNLOCKED,진화 완성 · %s,Evolution complete · %s,進化完成 · %s,进化完成 · %s,進化完成 · %s
RESONANCE_UNLOCKED,공명 발동 · %s,Resonance active · %s,共鳴発動 · %s,共鸣激活 · %s,共鳴啟動 · %s
EVOLUTION_UPGRADED,%s %d단계 강화,%s upgraded to tier %d,%s 第%d段階に強化,%s 强化至%d阶,%s 強化至%d階
EVOLUTION_PROGRESS_BANNER,%s %d/%d · 진화가 가까워진다,%s %d/%d · evolution draws closer,%s %d/%d · 進化が近づく,%s %d/%d · 即将进化,%s %d/%d · 即將進化
EVOLUTION_WEAKENED,%s 약화 · 9초 안에 회수: %s,%s weakened · reclaim %s within 9 seconds,%s 弱体化 · 9秒以内に%sを回収,%s 已弱化 · 9秒内找回%s,%s 已弱化 · 9秒內找回%s
EVOLUTION_RESTORED,%s 복원,%s restored,%s 復元,%s 已恢复,%s 已恢復
CYCLE_REWARD_DOUBLE,%s %d단계 · 수호자 전리품 · %d순환,%s tier %d · Guardian reward · Wave %d,%s 第%d段階 · 守護者報酬 · 第%d巡,%s %d阶 · 守护者奖励 · 第%d轮,%s %d階 · 守護者獎勵 · 第%d輪
CYCLE_REWARD_EVOLUTION,%s 진화 · 수호자 전리품 · %d순환,%s evolved · Guardian reward · Wave %d,%s 進化 · 守護者報酬 · 第%d巡,%s 进化 · 守护者奖励 · 第%d轮,%s 進化 · 守護者獎勵 · 第%d輪
CYCLE_REWARD_RESONANCE,%s 공명 · 수호자 전리품 · %d순환,%s resonance · Guardian reward · Wave %d,%s 共鳴 · 守護者報酬 · 第%d巡,%s 共鸣 · 守护者奖励 · 第%d轮,%s 共鳴 · 守護者獎勵 · 第%d輪
CYCLE_REWARD_PROGRESS,%s %d/%d · 수호자 전리품 · %d순환,%s %d/%d · Guardian reward · Wave %d,%s %d/%d · 守護者報酬 · 第%d巡,%s %d/%d · 守护者奖励 · 第%d轮,%s %d/%d · 守護者獎勵 · 第%d輪
ARROW_EVOLVED,월륜이 유성우로 진화했다,Moon Discs evolved into Starfall,月輪が流星雨へ進化した,月轮进化为流星雨,月輪進化為流星雨
DISC_UPGRADED,월륜 강화 %d/%d · 유성우가 가까워진다,Moon Disc %d/%d · Starfall draws closer,月輪強化 %d/%d · 流星雨が近づく,月轮强化 %d/%d · 即将进化为流星雨,月輪強化 %d/%d · 即將進化為流星雨
STARFALL_UPGRADED,유성우 %d단계 강화,Starfall upgraded to tier %d,流星雨 第%d段階に強化,流星雨强化至%d阶,流星雨強化至%d階
STARFALL_WEAKENED,유성우 약화 · 떨어진 유물을 되찾아라,Starfall weakened · reclaim the dropped relic,流星雨弱体化 · 落とした遺物を取り戻せ,流星雨已弱化 · 找回掉落的遗物,流星雨已弱化 · 找回掉落的遺物
CYCLE_REWARD_GAINED,%s Lv %d · %d순환 · 체력 회복,%s Lv %d · Wave %d · health restored,%s Lv %d · 第%d巡 · 体力回復,%s Lv %d · 第%d轮 · 恢复生命,%s Lv %d · 第%d輪 · 恢復生命
CYCLE_REWARD_EVOLVED,유성우 진화 · %d순환 · 체력 회복,Starfall evolved · Wave %d · health restored,流星雨進化 · 第%d巡 · 体力回復,流星雨进化 · 第%d轮 · 恢复生命,流星雨進化 · 第%d輪 · 恢復生命
HUD_LEVEL,Lv %d,Lv %d,Lv %d,Lv %d,Lv %d
HUD_LEVEL_INIT,Lv 1,Lv 1,Lv 1,Lv 1,Lv 1
HUD_MOONFIRE,달불씨 0/10,Embers 0/10,月の火種 0/10,月火种 0/10,月火種 0/10
HUD_EMBERS,달불씨 %d/10,Embers %d/10,月の火種 %d/10,月火种 %d/10,月火種 %d/10
HUD_MOONFIRE_ACTIVE,월광 각성,Moonfire,月光覚醒,月光觉醒,月光覺醒
HUD_MOONFIRE_LOCKED,보스전 각성,Boss Awakened,ボス戦覚醒,首领战觉醒,首領戰覺醒
HUD_BEACONS_CYCLE,봉화 %d/%d (%d순환),Beacons %d/%d (wave %d),烽火 %d/%d（第%d巡）,烽火 %d/%d（第%d轮）,烽火 %d/%d（第%d輪）
HUD_DISC_PROGRESS,월륜 %d/%d → 유성우,Moon Disc %d/%d → Starfall,月輪 %d/%d → 流星雨,月轮 %d/%d → 流星雨,月輪 %d/%d → 流星雨
HUD_DISC_INIT,월륜 0/3 → 유성우,Moon Disc 0/3 → Starfall,月輪 0/3 → 流星雨,月轮 0/3 → 流星雨,月輪 0/3 → 流星雨
HUD_STARFALL_LEVEL,유성우 %d단계,Starfall tier %d,流星雨 第%d段階,流星雨 %d阶,流星雨 %d階
HUD_EVOLUTION_PICK,진화 선택,Choose evolution,進化を選択,选择进化,選擇進化
HUD_EVOLUTION_PROGRESS,%s %d/%d,%s %d/%d,%s %d/%d,%s %d/%d,%s %d/%d
HUD_EVOLUTION_LEVEL,%s %d단계,%s T%d,%s 第%d段階,%s %d阶,%s %d階
HUD_MISSILE_POWER_INIT,미사일 0/8 · 코어 0/2,Missile 0/8 · core 0/2,ミサイル 0/8 · コア 0/2,导弹 0/8 · 核心 0/2,飛彈 0/8 · 核心 0/2
HUD_MISSILE_POWER,미사일 %d/%d · 코어 %d/%d,Missile %d/%d · core %d/%d,ミサイル %d/%d · コア %d/%d,导弹 %d/%d · 核心 %d/%d,飛彈 %d/%d · 核心 %d/%d
HUD_MISSILE_CORE_WAITING,미사일 %d/%d · 코어를 주워라,Missile %d/%d · pick up the core,ミサイル %d/%d · コアを拾え,导弹 %d/%d · 拾取核心,飛彈 %d/%d · 拾取核心
HUD_MISSILE_MAX,미사일 %d/%d · 편대 완성,Missile %d/%d · volley complete,ミサイル %d/%d · 編隊完成,导弹 %d/%d · 齐射完成,飛彈 %d/%d · 齊射完成
HUD_MISSILE_RECOVERY_INIT,회수 코어 9초,Recover core · 9s,コア回収 9秒,找回核心 · 9秒,找回核心 · 9秒
HUD_MISSILE_RECOVERY,회수 코어 %d초,Recover core · %ds,コア回収 %d秒,找回核心 · %d秒,找回核心 · %d秒
HUD_WORLD,%s · %s,%s · %s,%s · %s,%s · %s,%s · %s
HUD_WORLD_INIT,밤 숲 · 밤,Night Forest · Night,夜の森 · 夜,夜之森林 · 夜晚,夜之森林 · 夜晚
WORLD_FOREST,밤 숲,Night Forest,夜の森,夜之森林,夜之森林
WORLD_FIELD,달빛 들판,Moonlit Field,月明かりの野原,月光原野,月光原野
WORLD_CAMP,버려진 야영지,Abandoned Camp,捨てられた野営地,废弃营地,廢棄營地
TIME_NIGHT,밤,Night,夜,夜晚,夜晚
TIME_BLUE_DAWN,푸른 새벽,Blue Dawn,蒼い夜明け,蓝色黎明,藍色黎明
TIME_SUNRISE,여명,Sunrise,暁,破晓,破曉
TIME_DAY,낮,Day,昼,白昼,白晝
BEACON_KINDLED,봉화 %d/3 · 달불씨 게이지 +1/3 · 탈출구 개방,Beacon %d/3 · Ember gauge +1/3 · Escape opened,烽火 %d/3 · 火種ゲージ +1/3 · 脱出口開放,烽火 %d/3 · 火种槽 +1/3 · 出口开启,烽火 %d/3 · 火種槽 +1/3 · 出口開啟
BEACON_KINDLED_EXTENDED,봉화 %d/3 · 월광 각성 +0.5초 · 탈출구 개방,Beacon %d/3 · Moonfire +0.5s · Escape opened,烽火 %d/3 · 月光覚醒 +0.5秒 · 脱出口開放,烽火 %d/3 · 月光觉醒 +0.5秒 · 出口开启,烽火 %d/3 · 月光覺醒 +0.5秒 · 出口開啟
EMBER_HELP,달불씨 %d/10 · 10개면 모든 무기 각성,Embers %d/10 · collect 10 to awaken every weapon,月の火種 %d/10 · 10個で全武器覚醒,月火种 %d/10 · 收集10个觉醒所有武器,月火種 %d/10 · 收集10個覺醒所有武器
MISSILE_CORE_HELP,무기 코어! 주우면 미사일 출력 상승,Weapon core! Pick it up to increase missile power,武器コア！拾うとミサイル出力上昇,武器核心！拾取后提升导弹火力,武器核心！拾取後提升飛彈火力
MISSILE_POWER_UP,미사일 출력 %d/%d,Missile power %d/%d,ミサイル出力 %d/%d,导弹火力 %d/%d,飛彈火力 %d/%d
MISSILE_HOMING,미사일 출력 %d/%d · 각성 중 유도 편대,Missile power %d/%d · homing during Awakening,ミサイル出力 %d/%d · 覚醒中は追尾編隊,导弹火力 %d/%d · 觉醒时追踪齐射,飛彈火力 %d/%d · 覺醒時追蹤齊射
MISSILE_COMPLETE,미사일 편대 완성 · 출력 %d/%d,Missile volley complete · power %d/%d,ミサイル編隊完成 · 出力 %d/%d,导弹齐射完成 · 火力 %d/%d,飛彈齊射完成 · 火力 %d/%d
MISSILE_DROPPED,미사일 출력 %d→%d · 9초 안에 회수,Missile power %d→%d · reclaim within 9 seconds,ミサイル出力 %d→%d · 9秒以内に回収,导弹火力 %d→%d · 9秒内找回,飛彈火力 %d→%d · 9秒內找回
MISSILE_RESTORED,코어 회수 · 출력 진행 +%d,Core reclaimed · power progress +%d,コア回収 · 出力進行 +%d,核心找回 · 火力进度 +%d,核心找回 · 火力進度 +%d
MISSILE_LOST,코어 소실 · 미사일 출력 %d,Core lost · missile power remains %d,コア消失 · ミサイル出力 %d,核心丢失 · 导弹火力保持%d,核心遺失 · 飛彈火力保持%d
MOONFIRE_AWAKENED,월광 각성! 모든 무기가 달아오른다,Moonfire awakened! All weapons surge,月光覚醒！すべての武器が燃え上がる,月光觉醒！所有武器全面爆发,月光覺醒！所有武器全面爆發
GUARDIAN_APPEARS,각성 고정 · 붉은 수호자 표식을 따라가라,Awakening locked · follow the red Guardian marker,覚醒維持 · 赤い守護者マーカーを追え,觉醒锁定 · 跟随红色守护者标记,覺醒鎖定 · 跟隨紅色守護者標記
GUARDIAN_INTRO,%s 출현 · %s,%s appears · %s,%s 出現 · %s,%s 出现 · %s,%s 出現 · %s
GUARDIAN_FOREST_NAME,가시숲 추격자,Thornwood Pursuer,茨森の追跡者,荆棘林追猎者,荊棘林追獵者
GUARDIAN_FOREST_RULE,연속 돌진을 옆 대시로 피해라,side-dash its chained charges,連続突進を横ダッシュで避けろ,侧向冲刺躲开连续突进,側向衝刺躲開連續突進
GUARDIAN_FIELD_NAME,푸른 들판의 날개,Azure Fieldwing,蒼野の翼,苍蓝原野之翼,蒼藍原野之翼
GUARDIAN_FIELD_RULE,교차 탄막의 빈 길을 선점하라,claim the gap in its crossfire,交差弾幕の隙間に先回りしろ,抢占交叉弹幕的空隙,搶占交叉彈幕的空隙
GUARDIAN_CAMP_NAME,잿불 철갑장군,Emberclad Warden,残り火の鉄甲将,余烬铁甲将,餘燼鐵甲將
GUARDIAN_CAMP_RULE,부채꼴 뒤 열린 갑옷을 노려라,strike its open armor after the fan,扇状攻撃の後、装甲の隙を狙え,扇形攻击后攻击装甲空隙,扇形攻擊後攻擊裝甲空隙
GUARDIAN_FOREST_THORN_NAME,가시왕 추격자,Thorn King Pursuer,茨王の追跡者,荆棘王追猎者,荊棘王追獵者
GUARDIAN_FOREST_THORN_RULE,세 번 이어지는 돌진을 끊지 마라,do not stop between its triple charges,三段突進の間を止めるな,别在三段突进之间停下,別在三段突進之間停下
GUARDIAN_FIELD_STORM_NAME,벼락 들판의 날개,Storm Fieldwing,雷野の翼,雷原之翼,雷原之翼
GUARDIAN_FIELD_STORM_RULE,더 촘촘한 탄막의 한 칸만 노려라,take the single gap in denser fire,より密な弾幕の隙間一つを狙え,只抢更密弹幕的那一格空隙,只搶更密彈幕的那一格空隙
GUARDIAN_CAMP_SIEGE_NAME,공성 철갑장군,Siegeclad Warden,攻城の鉄甲将,攻城铁甲将,攻城鐵甲將
GUARDIAN_CAMP_SIEGE_RULE,더 짧은 개방을 놓치지 마라,do not miss its shorter open window,より短い開放を逃すな,别错过更短的破绽,別錯過更短的破綻
CYCLE_CLEARED,%d순환 시작 · 하트 1칸 회복,Wave %d · restore 1 heart,第%d巡開始 · ハート1回復,第%d轮开始 · 恢复1颗心,第%d輪開始 · 恢復1顆心
BEACON_CHOICE_TITLE,봉화의 불꽃을 고르세요,CHOOSE THE BEACON FLAME,烽火の灯し方を選べ,选择烽火点燃方式,選擇烽火點燃方式
BEACON_CHOICE_SUBTITLE,이번 순환 과충전 %d/3,Overcharges this wave %d/3,今回の過充電 %d/3,本轮过充能 %d/3,本輪過充能 %d/3
BEACON_CHOICE_LEFT_TITLE,안정 점화,SAFE KINDLE,安定点火,稳定点燃,穩定點燃
BEACON_CHOICE_LEFT_DESC,바로 지피고 다음 지형으로 간다,Kindle now and move to the next terrain,すぐ灯して次の地形へ進む,立即点燃并前往下一地形,立即點燃並前往下一地形
BEACON_CHOICE_RIGHT_TITLE,과충전,OVERCHARGE,過充電,过充能,過充能
BEACON_CHOICE_RIGHT_DESC,6.5초를 지키면 코어와 성장을 얻는다,Hold for 6.5 seconds to earn a core and growth,6.5秒守ればコアと成長を得る,坚守6.5秒获得核心和成长,堅守6.5秒獲得核心和成長
BEACON_CHOICE_RIGHT_DESC_MAX,6.5초를 지키면 추가 성장을 얻는다,Hold for 6.5 seconds to gain extra growth,6.5秒守れば追加の成長を得る,坚守6.5秒获得额外成长,堅守6.5秒獲得額外成長
CYCLE_CHOICE_TITLE,%d순환을 지켜냈다,WAVE %d SECURED,第%d巡を守り抜いた,守住第%d轮,守住第%d輪
CYCLE_CHOICE_SUBTITLE,지금 정산하거나 보상을 들고 더 깊이 간다,Cash out now or carry the reward deeper,今精算するか報酬を持ってさらに奥へ進む,现在结算或带着奖励继续深入,現在結算或帶著獎勵繼續深入
CYCLE_CHOICE_LEFT_TITLE,귀환 · 정산,RETURN · CASH OUT,帰還 · 精算,返回 · 结算,返回 · 結算
CYCLE_CHOICE_LEFT_DESC,현재 기록과 조각을 안전하게 남긴다,Secure this score and every shard,現在の記録と欠片を確定する,保存当前记录和全部碎片,保存目前記錄和全部碎片
CYCLE_CHOICE_RIGHT_TITLE,다음 순환,NEXT WAVE,次の巡,下一轮,下一輪
